instance_name,source,mode,model,status,current_phase,plants,depots,customers,products,objective_value,best_bound,mip_gap,runtime,open_depots,rho,mu,iterations
rand_l3_m8_n12_p3,random,exact,model_a_exact,,,3,8,12,3,5308.833489693527,5308.833489693526,0.0,0.37289760000203387,3,,,
rand_l3_m8_n12_p3,random,maat,model_a_maat,,,3,8,12,3,5421.016454209152,5421.016454209152,0.0,2.410611399998743,2,2,3,10
rand_l3_m8_n12_p3,random,exact,model_b_exact,,,3,8,12,3,5116.3234896935255,5116.142425372899,3.538953723138514e-05,0.22798239999974612,3,,,
rand_l3_m8_n12_p3,random,maat,model_b_maat,,,3,8,12,3,5317.155312966633,5317.155312966633,0.0,2.739560600002733,2,1,3,10
rand_l5_m20_n40_p5,random,exact,model_a_exact,completed,completed,5,20,40,5,69168.14557613488,69164.73783510127,4.9267491635323856e-05,5.608789500001876,5,,,
rand_l5_m20_n40_p5,random,maat,model_a_maat,completed,completed,5,20,40,5,69964.4505521158,69964.4505521158,0.0,66.37250660000063,4,5,8,10
rand_l8_m30_n60_p5,random,exact,model_a_exact,completed,completed,8,30,60,5,138236.31433548487,138236.31433548487,0.0,19.185370300001523,7,,,
rand_l8_m30_n60_p5,random,maat,model_a_maat,completed,completed,8,30,60,5,138551.54186348486,138542.04944558334,6.85118171465349e-05,313.08091910000076,7,7,11,10
rand_l3_m8_n12_p3,random,exact,model_a_exact,completed,completed,3,8,12,3,5308.833489693527,5308.833489693526,0.0,0.2740717999986373,3,,,
rand_l3_m8_n12_p3,random,maat,model_a_maat,completed,completed,3,8,12,3,5421.016454209152,5421.016454209152,0.0,3.4804516000003787,2,2,3,10
data_100200400,teacher,exact,model_a_exact,completed,completed,100,200,400,1,931969.17,931926.7276785714,4.5540477941646784e-05,27.545742400001473,36,,,
data_100200400,teacher,maat,model_a_maat,completed,completed,100,200,400,1,932566.6000000001,932516.7639428568,5.343967620466556e-05,1373.418875899999,36,125,188,10
data_100200400,teacher,exact,model_b_exact,completed,completed,100,200,400,1,947538.63,947538.63,0.0,154.73577699999805,35,,,
data_100200400,teacher,maat,model_b_maat,completed,completed,100,200,400,1,949827.4099999999,949827.4099999993,6.128235540545983e-16,1375.0306004000013,35,125,200,10
data_200400800,teacher,exact,model_a_exact,completed,completed,200,400,800,1,1838964.96,1838782.1370588248,9.941621790074583e-05,187.84738049999942,71,,,
data_200400800,teacher,maat,model_a_maat,completed,completed,200,400,800,1,1840012.3299999996,1839940.4750314485,3.905135165647541e-05,2989.1836159000013,71,250,375,10
data_200400800,teacher,exact,model_b_exact,completed,completed,200,400,800,1,1866262.1600000001,1866182.8666666702,4.248777852837076e-05,120.78700430000026,68,,,
data_200400800,teacher,maat,model_b_maat,completed,completed,200,400,800,1,1866881.9699999997,1866880.6900000016,6.856352028325041e-07,2925.8854076999996,68,250,400,10
