instance_name,source,model,method,plants,depots,customers,products,objective_value,best_bound,mip_gap,runtime,open_depots,opening_cost,transport_cost,rho,mu,iterations,deviation_note
rand_l5_m20_n40_p5,random,Model A,Exact,5,20,40,5,69168.14557613488,69164.73783510127,4.9267491635323856e-05,5.608789500001876,5,12742.420000000002,56425.72557613486,,,,
rand_l5_m20_n40_p5,random,Model A,MAAT,5,20,40,5,69964.4505521158,69964.4505521158,0.0,66.37250660000063,4,10697.99,59266.460552115794,5,8,10,
rand_l8_m30_n60_p5,random,Model A,Exact,8,30,60,5,138236.31433548487,138236.31433548487,0.0,19.185370300001523,7,39339.86,98896.45433548493,,,,
rand_l8_m30_n60_p5,random,Model A,MAAT,8,30,60,5,138551.54186348486,138542.04944558334,6.85118171465349e-05,313.08091910000076,7,38491.939999999995,100059.60186348484,7,11,10,
rand_l3_m8_n12_p3,random,Model A,Exact,3,8,12,3,5308.833489693527,5308.833489693526,0.0,0.2740717999986373,3,1797.5900000000001,3511.2434896935265,,,,
rand_l3_m8_n12_p3,random,Model A,MAAT,3,8,12,3,5421.016454209152,5421.016454209152,0.0,3.4804516000003787,2,1154.64,4266.376454209154,2,3,10,
data_100200400,teacher,Model A,Exact,100,200,400,1,931969.17,931926.7276785714,4.5540477941646784e-05,27.545742400001473,36,392329.7699999999,539639.3999999997,,,,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
data_100200400,teacher,Model A,MAAT,100,200,400,1,932566.6000000001,932516.7639428568,5.343967620466556e-05,1373.418875899999,36,392969.8499999999,539596.7499999998,125,188,10,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
data_100200400,teacher,Model B,Exact,100,200,400,1,947538.63,947538.63,0.0,154.73577699999805,35,407989.4399999999,539549.1899999996,,,,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
data_100200400,teacher,Model B,MAAT,100,200,400,1,949827.4099999999,949827.4099999993,6.128235540545983e-16,1375.0306004000013,35,410121.19999999995,539706.2099999997,125,200,10,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
data_200400800,teacher,Model A,Exact,200,400,800,1,1838964.96,1838782.1370588248,9.941621790074583e-05,187.84738049999942,71,758914.62,1080050.3400000003,,,,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
data_200400800,teacher,Model A,MAAT,200,400,800,1,1840012.3299999996,1839940.4750314485,3.905135165647541e-05,2989.1836159000013,71,759977.16,1080035.17,250,375,10,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
data_200400800,teacher,Model B,Exact,200,400,800,1,1866262.1600000001,1866182.8666666702,4.248777852837076e-05,120.78700430000026,68,786131.9199999998,1080130.2400000005,,,,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
data_200400800,teacher,Model B,MAAT,200,400,800,1,1866881.9699999997,1866880.6900000016,6.856352028325041e-07,2925.8854076999996,68,786762.1199999998,1080119.8500000006,250,400,10,The teacher file is single-product and single-capacity with no coordinates. Multi-level capacities and coordinates are synthetic and documented.
